repo;path;name;type;size;created;created_by;modified;modified_by;updated;producerId;moduleId;version;id;url
drivers;@actility/adeunis-analog/-/@actility;adeunis-analog-1.1.4.tgz;file;6376;2021-02-02T10:54:29.592Z;jenkins;2021-02-02T10:54:29.545Z;jenkins;2021-02-02T10:54:29.593Z;actility;adeunis-analog;1.1.4;actility:adeunis-analog:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-analog/-/@actility/adeunis-analog-1.1.4.tgz
drivers;@actility/dl-trs11/-/@actility;dl-trs11-1.1.3.tgz;file;1675;2021-02-02T11:04:07.41Z;jenkins;2021-02-02T11:04:07.36Z;jenkins;2021-02-02T11:04:07.41Z;actility;dl-trs11;1.1.3;actility:dl-trs11:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-trs11/-/@actility/dl-trs11-1.1.3.tgz
drivers;@actility/dl-ds18/-/@actility;dl-ds18-1.1.3.tgz;file;1430;2021-02-02T11:03:55.447Z;jenkins;2021-02-02T11:03:55.414Z;jenkins;2021-02-02T11:03:55.447Z;actility;dl-ds18;1.1.3;actility:dl-ds18:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-ds18/-/@actility/dl-ds18-1.1.3.tgz
drivers;@actility/dl-atm41/-/@actility;dl-atm41-1.1.3.tgz;file;2420;2021-02-02T11:03:53.743Z;jenkins;2021-02-02T11:03:53.713Z;jenkins;2021-02-02T11:03:53.743Z;actility;dl-atm41;1.1.3;actility:dl-atm41:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-atm41/-/@actility/dl-atm41-1.1.3.tgz
drivers;@actility/adeunis-field-test/-/@actility;adeunis-field-test-1.1.4.tgz;file;3462;2021-02-02T10:54:20.076Z;jenkins;2021-02-02T10:54:20.041Z;jenkins;2021-02-02T10:54:20.076Z;actility;adeunis-field-test;1.1.4;actility:adeunis-field-test:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-field-test/-/@actility/adeunis-field-test-1.1.4.tgz
drivers;@actility/dl-pr36ctd/-/@actility;dl-pr36ctd-1.1.3.tgz;file;1708;2021-02-02T11:04:03.674Z;jenkins;2021-02-02T11:04:03.626Z;jenkins;2021-02-02T11:04:03.675Z;actility;dl-pr36ctd;1.1.3;actility:dl-pr36ctd:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-pr36ctd/-/@actility/dl-pr36ctd-1.1.3.tgz
drivers;@senlab/a/-/@senlab;a-2.5.1.tgz;file;58212;2020-12-11T18:47:44.883Z;jenkins;2020-12-11T18:47:44.818Z;jenkins;2020-12-11T18:47:44.884Z;senlab;a;2.5.1;senlab:a:2;https://repo.int.actility.com/artifactory/drivers/@senlab/a/-/@senlab/a-2.5.1.tgz
drivers;@senlab/o/-/@senlab;o-2.5.1.tgz;file;58227;2020-12-11T18:47:48.371Z;jenkins;2020-12-11T18:47:48.223Z;jenkins;2020-12-11T18:47:48.372Z;senlab;o;2.5.1;senlab:o:2;https://repo.int.actility.com/artifactory/drivers/@senlab/o/-/@senlab/o-2.5.1.tgz
drivers;@actility/ontology-database/-/@actility;ontology-database-1.2.3.tgz;file;4053;2021-05-06T13:27:57.846Z;jenkins;2021-05-06T13:27:57.833Z;jenkins;2021-05-06T13:27:57.847Z;actility;ontology-database;1.2.3;actility:ontology-database:1;https://repo.int.actility.com/artifactory/drivers/@actility/ontology-database/-/@actility/ontology-database-1.2.3.tgz
drivers;@senlab/m/-/@senlab;m-2.5.1.tgz;file;58227;2020-12-11T18:47:47.541Z;jenkins;2020-12-11T18:47:47.473Z;jenkins;2020-12-11T18:47:47.541Z;senlab;m;2.5.1;senlab:m:2;https://repo.int.actility.com/artifactory/drivers/@senlab/m/-/@senlab/m-2.5.1.tgz
drivers;@actility/adeunis-motion/-/@actility;adeunis-motion-1.1.4.tgz;file;7353;2021-02-02T10:54:21.424Z;jenkins;2021-02-02T10:54:21.391Z;jenkins;2021-02-02T10:54:21.425Z;actility;adeunis-motion;1.1.4;actility:adeunis-motion:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-motion/-/@actility/adeunis-motion-1.1.4.tgz
drivers;@actility/dl-pr21/-/@actility;dl-pr21-1.1.3.tgz;file;1597;2021-02-02T11:04:01.197Z;jenkins;2021-02-02T11:04:01.126Z;jenkins;2021-02-02T11:04:01.198Z;actility;dl-pr21;1.1.3;actility:dl-pr21:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-pr21/-/@actility/dl-pr21-1.1.3.tgz
drivers;@actility/adeunis-temp3/-/@actility;adeunis-temp3-1.1.4.tgz;file;5962;2021-02-02T10:54:27.167Z;jenkins;2021-02-02T10:54:27.112Z;jenkins;2021-02-02T10:54:27.168Z;actility;adeunis-temp3;1.1.4;actility:adeunis-temp3:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-temp3/-/@actility/adeunis-temp3-1.1.4.tgz
